value,dbpedia-2015,dbpedia-2022-matched,dbpedia-2025,relative_change
nodes/http://dbpedia.org/resource/Republican_Party_(United_States)/rank_weighted,5.000000,70.000000,175.000000,34.000000
nodes/http://dbpedia.org/resource/United_States_Army/rank_unweighted,153.000000,3804.000000,5353.000000,33.986928
nodes/http://dbpedia.org/resource/New_York_City/rank_unweighted,13.000000,61.000000,452.000000,33.769231
nodes/http://dbpedia.org/resource/Democratic_Party_(United_States)/rank_weighted,4.000000,40.000000,138.000000,33.500000
nodes/http://dbpedia.org/resource/Virginia/rank_unweighted,129.000000,518.000000,4436.000000,33.387597
nodes/http://dbpedia.org/resource/Chile/rank_shift,61.000000,-265.000000,-1951.000000,-32.983607
"nodes/http://dbpedia.org/resource/Claremont,_New_Hampshire/rank_shift",7.000000,361.000000,235.000000,32.571429
nodes/http://dbpedia.org/resource/Somerset/rank_shift,-10.000000,-2.000000,-334.000000,-32.400000
nodes/http://dbpedia.org/resource/Assumption_of_Mary/rank_shift,-81.000000,-2772.000000,-2691.000000,-32.222222
"nodes/http://dbpedia.org/resource/Albany,_New_York/rank_unweighted",167.000000,3372.000000,5466.000000,31.730539
nodes/http://dbpedia.org/resource/Nepal/rank_shift,-169.000000,-2812.000000,-5525.000000,-31.692308
nodes/http://dbpedia.org/resource/English_people/rank_unweighted,122.000000,125.000000,3944.000000,31.327869
nodes/http://dbpedia.org/resource/Princeton_University/rank_weighted,205.000000,2890.000000,6520.000000,30.804878
nodes/http://dbpedia.org/resource/Wiltshire/rank_unweighted,30.000000,443.000000,938.000000,30.266667
nodes/http://dbpedia.org/resource/Humanoid_(Dungeons_&_Dragons)/rank_weighted,136.000000,6427.000000,4185.000000,29.772059
nodes/http://dbpedia.org/resource/Malcolm_Turnbull/rank_weighted,720.000000,864.000000,21938.000000,29.469444
nodes/http://dbpedia.org/resource/Nepal/rank_weighted,719.000000,4135.000000,21733.000000,29.226704
nodes/http://dbpedia.org/resource/List_of_U.S._states_by_date_of_admission_to_the_Union/rank_unweighted,61.000000,267.000000,1843.000000,29.213115
nodes/http://dbpedia.org/resource/England/rank_shift,1.000000,0.000000,30.000000,29.000000
nodes/http://dbpedia.org/resource/Joseph_Forbes_Duncan/rank_shift,21.000000,469.000000,622.000000,28.619048
nodes/http://dbpedia.org/resource/United_Kingdom/rank_unweighted,2.000000,8.000000,59.000000,28.500000
nodes/http://dbpedia.org/resource/Nepal/rank_unweighted,550.000000,1323.000000,16208.000000,28.469091
nodes/http://dbpedia.org/resource/Lake_Erie/rank_weighted,761.000000,804.000000,22020.000000,27.935611
nodes/http://dbpedia.org/resource/City_manager/rank_shift,-28.000000,-1183.000000,-799.000000,-27.535714
nodes/http://dbpedia.org/resource/Yokohama/rank_shift,-111.000000,-1005.000000,-3131.000000,-27.207207
nodes/http://dbpedia.org/resource/Ogg/rank_shift,-131.000000,-321.000000,-3682.000000,-27.106870
"nodes/http://dbpedia.org/resource/Columbus,_Ohio/rank_weighted",286.000000,2066.000000,7992.000000,26.944056
nodes/http://dbpedia.org/resource/Sweden/rank_weighted,104.000000,146.000000,2905.000000,26.932692
nodes/http://dbpedia.org/resource/United_States_House_of_Representatives/rank_unweighted,26.000000,154.000000,725.000000,26.884615
nodes/http://dbpedia.org/resource/The_Bronx/rank_weighted,164.000000,5886.000000,4446.000000,26.109756
"nodes/http://dbpedia.org/resource/Preston,_Lancashire/rank_shift",-61.000000,-4396.000000,-1646.000000,-25.983607
"nodes/http://dbpedia.org/resource/Henry_Thynne,_6th_Marquess_of_Bath/rank_shift",43.000000,57.000000,1157.000000,25.906977
nodes/http://dbpedia.org/resource/Alignment_(Dungeons_&_Dragons)/rank_weighted,434.000000,18462.000000,11436.000000,25.350230
nodes/http://dbpedia.org/resource/Actor/rank_unweighted,590.000000,4143.000000,15401.000000,25.103390
nodes/http://dbpedia.org/resource/Seymour_Cocks/rank_shift,21.000000,1532.000000,532.000000,24.333333
nodes/http://dbpedia.org/resource/Melton_Mowbray/rank_shift,-44.000000,-807.000000,-1113.000000,-24.295455
nodes/http://dbpedia.org/resource/Chile/rank_unweighted,253.000000,297.000000,6353.000000,24.110672
nodes/http://dbpedia.org/resource/Haydn_Davies_(politician)/rank_shift,21.000000,1478.000000,519.000000,23.714286
nodes/http://dbpedia.org/resource/Scandinavium/rank_shift,29.000000,1228.000000,712.000000,23.551724
nodes/http://dbpedia.org/resource/Council–manager_government/rank_weighted,197.000000,1310.000000,4832.000000,23.527919
nodes/http://dbpedia.org/resource/Julie_Bishop/rank_weighted,915.000000,1410.000000,22280.000000,23.349727
nodes/http://dbpedia.org/resource/Ohio/rank_weighted,34.000000,256.000000,805.000000,22.676471
nodes/http://dbpedia.org/resource/Undead_(Dungeons_&_Dragons)/rank_weighted,216.000000,4759.000000,5096.000000,22.592593
nodes/http://dbpedia.org/resource/Arizona/rank_weighted,415.000000,3106.000000,9662.000000,22.281928
nodes/http://dbpedia.org/resource/Queens/rank_shift,-32.000000,-2516.000000,-743.000000,-22.218750
"nodes/http://dbpedia.org/resource/Scranton,_Pennsylvania/rank_unweighted",1061.000000,3777.000000,24481.000000,22.073516
"nodes/http://dbpedia.org/resource/Albany,_New_York/rank_shift",44.000000,-1659.000000,-920.000000,-21.909091
nodes/http://dbpedia.org/resource/Yale_University/rank_weighted,112.000000,1979.000000,2539.000000,21.669643
nodes/http://dbpedia.org/resource/William_Mackinder/rank_weighted,1309.000000,1794.000000,29641.000000,21.644003
nodes/http://dbpedia.org/resource/Golem_(Dungeons_&_Dragons)/rank_shift,165.000000,-2681.000000,-3377.000000,-21.466667
nodes/http://dbpedia.org/resource/North_West_England/rank_weighted,154.000000,1140.000000,3455.000000,21.435065
nodes/http://dbpedia.org/resource/Lancashire/rank_weighted,21.000000,191.000000,471.000000,21.428571
nodes/http://dbpedia.org/resource/Philadelphia/rank_weighted,55.000000,679.000000,1229.000000,21.345455
nodes/http://dbpedia.org/resource/Economist/rank_shift,37.000000,-111.000000,824.000000,21.270270
nodes/http://dbpedia.org/resource/Lawyer/rank_weighted,58.000000,2403.000000,1282.000000,21.103448
nodes/http://dbpedia.org/resource/Academic_administration/rank_unweighted,453.000000,13331.000000,9971.000000,21.011038
nodes/http://dbpedia.org/resource/Stanford_University/rank_weighted,275.000000,8141.000000,6013.000000,20.865455
nodes/http://dbpedia.org/resource/Conservatism/rank_shift,-92.000000,-213.000000,-2001.000000,-20.750000
nodes/http://dbpedia.org/resource/New_Jersey/rank_weighted,106.000000,638.000000,2294.000000,20.641509
nodes/http://dbpedia.org/resource/The_Bronx/rank_unweighted,217.000000,1806.000000,4679.000000,20.562212
nodes/http://dbpedia.org/resource/Met_Office/rank_shift,13.000000,38.000000,279.000000,20.461538
nodes/http://dbpedia.org/resource/Forward_(association_football)/rank_unweighted,514.000000,16413.000000,11024.000000,20.447471
nodes/http://dbpedia.org/resource/United_States_House_of_Representatives/rank_weighted,89.000000,645.000000,1887.000000,20.202247
nodes/http://dbpedia.org/resource/Church_of_England/rank_unweighted,25.000000,179.000000,526.000000,20.040000
nodes/http://dbpedia.org/resource/Labour_Party_(UK)/rank_shift,1.000000,14.000000,21.000000,20.000000
nodes/http://dbpedia.org/resource/The_Right_Honourable/rank_shift,1.000000,-2.000000,-19.000000,-20.000000
nodes/http://dbpedia.org/resource/Urban_area/rank_weighted,134.000000,420.000000,2795.000000,19.858209
nodes/http://dbpedia.org/resource/Frederick_Fox_Riley/rank_shift,21.000000,721.000000,436.000000,19.761905
nodes/http://dbpedia.org/resource/Juris_Doctor/rank_shift,-20.000000,-2251.000000,-415.000000,-19.750000
nodes/http://dbpedia.org/resource/Brooklyn/rank_unweighted,113.000000,1092.000000,2341.000000,19.716814
nodes/http://dbpedia.org/resource/The_O2_Arena/rank_shift,29.000000,1186.000000,594.000000,19.482759
nodes/http://dbpedia.org/resource/Lebanon/rank_shift,-67.000000,-726.000000,-1368.000000,-19.417910
nodes/http://dbpedia.org/resource/Megan_Lloyd_George/rank_weighted,1009.000000,1549.000000,20569.000000,19.385530
nodes/http://dbpedia.org/resource/Singapore/rank_weighted,792.000000,2850.000000,16133.000000,19.369949
nodes/http://dbpedia.org/resource/Forward_(association_football)/rank_weighted,975.000000,18029.000000,19714.000000,19.219487
nodes/http://dbpedia.org/resource/Dorset/rank_shift,16.000000,-411.000000,-291.000000,-19.187500
"nodes/http://dbpedia.org/resource/Worcester,_Massachusetts/rank_weighted",227.000000,4027.000000,4568.000000,19.123348
nodes/http://dbpedia.org/resource/Arsenal_F.C./rank_unweighted,507.000000,2520.000000,10095.000000,18.911243
nodes/http://dbpedia.org/resource/Manchester/rank_weighted,53.000000,403.000000,1054.000000,18.886792
"nodes/http://dbpedia.org/resource/Providence,_Rhode_Island/rank_unweighted",302.000000,6040.000000,6002.000000,18.874172
nodes/http://dbpedia.org/resource/Dar_es_Salaam/rank_unweighted,788.000000,11339.000000,15558.000000,18.743655
nodes/http://dbpedia.org/resource/Julie_Bishop/rank_unweighted,1192.000000,873.000000,23403.000000,18.633389
nodes/http://dbpedia.org/resource/South_West_England/rank_shift,-35.000000,-330.000000,-684.000000,-18.542857
nodes/http://dbpedia.org/resource/Cleveland/rank_unweighted,350.000000,1018.000000,6825.000000,18.500000
nodes/http://dbpedia.org/resource/Mayor/rank_weighted,52.000000,234.000000,1010.000000,18.423077
nodes/http://dbpedia.org/resource/Mexico/rank_weighted,163.000000,683.000000,3165.000000,18.417178
nodes/http://dbpedia.org/resource/Religion/rank_unweighted,308.000000,928.000000,5925.000000,18.237013
"nodes/http://dbpedia.org/resource/Columbus,_Ohio/rank_unweighted",395.000000,1901.000000,7570.000000,18.164557
nodes/http://dbpedia.org/resource/Dragon_(Dungeons_&_Dragons)/rank_shift,198.000000,-2691.000000,-3382.000000,-18.080808
nodes/http://dbpedia.org/resource/Troll_(Dungeons_&_Dragons)/rank_shift,198.000000,-2681.000000,-3364.000000,-17.989899
nodes/http://dbpedia.org/resource/Chippenham_(UK_Parliament_constituency)/rank_unweighted,918.000000,5050.000000,17318.000000,17.864924
nodes/http://dbpedia.org/resource/Forward_(association_football)/rank_shift,-461.000000,-1616.000000,-8690.000000,-17.850325
nodes/http://dbpedia.org/resource/Ontario/rank_weighted,124.000000,291.000000,2337.000000,17.846774
nodes/http://dbpedia.org/resource/Scotland/rank_weighted,38.000000,75.000000,716.000000,17.842105
"nodes/http://dbpedia.org/resource/Newark,_New_Jersey/rank_shift",86.000000,-1325.000000,-1442.000000,-17.767442
nodes/http://dbpedia.org/resource/Mayor–council_government/rank_shift,-17.000000,-194.000000,-319.000000,-17.764706
nodes/http://dbpedia.org/resource/Moelwyn_Hughes/rank_weighted,882.000000,1662.000000,16548.000000,17.761905
nodes/http://dbpedia.org/resource/Defender_(association_football)/rank_unweighted,808.000000,7578.000000,15141.000000,17.738861
"nodes/http://dbpedia.org/resource/Sir_John_Leigh,_1st_Baronet/rank_unweighted",1584.000000,2382.000000,29667.000000,17.729167
nodes/http://dbpedia.org/resource/Singapore/rank_unweighted,844.000000,779.000000,15744.000000,17.654028
nodes/http://dbpedia.org/resource/United_States_House_of_Representatives/rank_shift,-63.000000,-491.000000,-1162.000000,-17.444444
nodes/http://dbpedia.org/resource/Cardiff/rank_unweighted,170.000000,123.000000,3131.000000,17.417647
nodes/http://dbpedia.org/resource/Maine/rank_weighted,109.000000,2378.000000,2006.000000,17.403670
nodes/http://dbpedia.org/resource/Andrew_Jackson/rank_shift,-34.000000,-1680.000000,-622.000000,-17.294118
"nodes/http://dbpedia.org/resource/Alfred_Suenson-Taylor,_1st_Baron_Grantchester/rank_shift",21.000000,543.000000,380.000000,17.095238
nodes/http://dbpedia.org/resource/Illinois/rank_weighted,48.000000,448.000000,868.000000,17.083333
nodes/http://dbpedia.org/resource/George_VI/rank_unweighted,23.000000,10.000000,415.000000,17.043478
nodes/http://dbpedia.org/resource/Poland/rank_weighted,446.000000,490.000000,7980.000000,16.892377
nodes/http://dbpedia.org/resource/Minnesota/rank_weighted,219.000000,2717.000000,3917.000000,16.885845
nodes/http://dbpedia.org/resource/Netherlands/rank_weighted,211.000000,561.000000,3739.000000,16.720379
nodes/http://dbpedia.org/resource/North_Carolina/rank_weighted,133.000000,1382.000000,2356.000000,16.714286
"nodes/http://dbpedia.org/resource/John_Jacob_Astor,_1st_Baron_Astor_of_Hever/rank_weighted",1672.000000,3978.000000,29559.000000,16.678828
nodes/http://dbpedia.org/resource/North_West_England/rank_unweighted,152.000000,609.000000,2687.000000,16.677632
nodes/http://dbpedia.org/resource/Republican_Party_(United_States)/rank_unweighted,11.000000,128.000000,193.000000,16.545455
nodes/http://dbpedia.org/resource/English_people/rank_weighted,361.000000,372.000000,6304.000000,16.462604
nodes/http://dbpedia.org/resource/Chicago/rank_weighted,35.000000,584.000000,611.000000,16.457143
nodes/http://dbpedia.org/resource/Electoral_district_of_Toowoomba_South/rank_shift,-112.000000,-1060.000000,-1950.000000,-16.410714
nodes/http://dbpedia.org/resource/Council–manager_government/rank_unweighted,178.000000,888.000000,3093.000000,16.376404
nodes/http://dbpedia.org/resource/Democratic_Party_(United_States)/rank_unweighted,9.000000,64.000000,156.000000,16.333333
"nodes/http://dbpedia.org/resource/John_Gretton,_1st_Baron_Gretton/rank_unweighted",1721.000000,2120.000000,29609.000000,16.204532
nodes/http://dbpedia.org/resource/Toronto/rank_weighted,166.000000,324.000000,2846.000000,16.144578
nodes/http://dbpedia.org/resource/Lord_Randolph_Churchill/rank_shift,-88.000000,-1524.000000,-1508.000000,-16.136364
nodes/http://dbpedia.org/resource/Thailand/rank_unweighted,689.000000,5762.000000,11762.000000,16.071118
nodes/http://dbpedia.org/resource/Pacific_Ocean/rank_weighted,532.000000,2783.000000,9062.000000,16.033835
nodes/http://dbpedia.org/resource/Chippenham_(UK_Parliament_constituency)/rank_weighted,1055.000000,4617.000000,17789.000000,15.861611
nodes/http://dbpedia.org/resource/James_Sexton/rank_weighted,1765.000000,1047.000000,29548.000000,15.741076
nodes/http://dbpedia.org/resource/Lancashire/rank_unweighted,31.000000,270.000000,504.000000,15.258065
"nodes/http://dbpedia.org/resource/Ventura_County,_California/rank_shift",-220.000000,-1046.000000,-3551.000000,-15.140909
nodes/http://dbpedia.org/resource/Eric_Macfadyen/rank_shift,-76.000000,466.000000,1074.000000,15.131579
nodes/http://dbpedia.org/resource/Planes_of_Conflict/rank_shift,-193.000000,-2202.000000,-3112.000000,-15.124352
nodes/http://dbpedia.org/resource/Ship_of_Horror/rank_shift,-193.000000,-2202.000000,-3112.000000,-15.124352
nodes/http://dbpedia.org/resource/The_Rjurik_Highlands/rank_shift,-193.000000,-2202.000000,-3112.000000,-15.124352
nodes/http://dbpedia.org/resource/The_Rod_of_Seven_Parts/rank_shift,-193.000000,-2202.000000,-3112.000000,-15.124352
nodes/http://dbpedia.org/resource/Time_of_the_Dragon/rank_shift,-193.000000,-2202.000000,-3112.000000,-15.124352
nodes/http://dbpedia.org/resource/Nebraska/rank_weighted,526.000000,6225.000000,8458.000000,15.079848
"nodes/http://dbpedia.org/resource/Jacksonville,_Florida/rank_shift",-87.000000,-1395.000000,-1397.000000,-15.057471
nodes/http://dbpedia.org/resource/Wisconsin/rank_weighted,202.000000,3078.000000,3233.000000,15.004950
nodes/http://dbpedia.org/resource/Hellbound:_The_Blood_War/rank_shift,-196.000000,-2212.000000,-3134.000000,-14.989796
nodes/http://dbpedia.org/resource/William_Kirkpatrick_(Conservative_politician)/rank_shift,61.000000,238.000000,975.000000,14.983607
nodes/http://dbpedia.org/resource/Dune_Trader/rank_shift,-198.000000,-2220.000000,-3163.000000,-14.974747
nodes/http://dbpedia.org/resource/Florida/rank_weighted,96.000000,208.000000,1527.000000,14.906250
nodes/http://dbpedia.org/resource/Distinguished_Service_Cross_(United_Kingdom)/rank_unweighted,988.000000,5758.000000,15619.000000,14.808704
nodes/http://dbpedia.org/resource/Council_of_Wyrms/rank_shift,-202.000000,-2224.000000,-3182.000000,-14.752475
nodes/http://dbpedia.org/resource/First_Secretary_of_State/rank_shift,252.000000,-1166.000000,-3414.000000,-14.547619
"nodes/http://dbpedia.org/resource/Bath,_Somerset/rank_weighted",1486.000000,9543.000000,22929.000000,14.430013
nodes/http://dbpedia.org/resource/Mumbai/rank_unweighted,457.000000,456.000000,7051.000000,14.428884
